frame.number	dis.timestamp	dis.entity_linear_velocity.x	dis.entity_linear_velocity.y	dis.entity_linear_velocity.z	dis.entity_location.x	dis.entity_location.y	dis.entity_location.z
27701	855.556167000	-46.4677	66.9442	78.1315	1321778.72096821	-4339992.79717585	4474549.57187584
27791	855.756263000	-46.464	66.9324	78.1438	1321769.42784598	-4339979.409354	4474565.19868947
27845	855.906350000	-46.4623	66.9301	78.1407	1321762.45801816	-4339969.36846793	4474576.91874009
28071	856.473280000	-46.466	66.9431	78.1273	1321736.1274155	-4339931.43556905	4474621.19402732
28305	857.056907000	-46.4677	66.9466	78.1295	1321709.0224038	-4339892.38659946	4474666.77125173
28375	857.240338000	-46.466	66.9443	78.1263	1321700.50367502	-4339880.11389258	4474681.09530007
28630	857.823951000	-46.4678	66.9477	78.1284	1321673.39865205	-4339841.0642311	4474726.671925
28695	857.990723000	-46.4678	66.948	78.1282	1321665.65435356	-4339829.90706539	4474739.69369712
28782	858.207507000	-46.466	66.9458	78.125	1321655.58678514	-4339815.40272686	4474756.62194175
28988	858.741061000	-46.466	66.9467	78.1243	1321630.80504696	-4339779.69940985	4474798.29129129
29239	859.341356000	-46.4661	66.9476	78.1235	1321602.92556757	-4339739.53260172	4474845.16880132
29491	859.941653000	-46.4661	66.9485	78.1227	1321575.04607913	-4339699.36523664	4474892.04582876
29735	860.541956000	-46.4661	66.9494	78.1219	1321547.16658164	-4339659.19731464	4474938.92237362
29970	861.125576000	-46.4678	66.9529	78.124	1321520.06151026	-4339620.14467512	4474984.49641806
30049	861.309044000	-46.4624	66.9385	78.1334	1321511.54282426	-4339607.87101688	4474998.81967673
30261	861.809243000	-46.4661	66.9514	78.1202	1321488.3098829	-4339574.39669643	4475037.88254662
30487	862.392858000	-46.4642	66.9427	78.1349	1321461.20479299	-4339535.34291385	4475083.45560055
30569	862.559616000	-46.4679	66.9551	78.1221	1321453.46047538	-4339524.18457068	4475096.47635237
30645	862.776384000	-46.4661	66.9529	78.1189	1321443.39288211	-4339509.67870146	4475113.40327062
30880	863.360006000	-46.4642	66.9442	78.1336	1321416.28777806	-4339470.62404655	4475158.9755686
30955	863.526752000	-46.4642	66.9444	78.1334	1321408.54345641	-4339459.46545416	4475171.99610443
31015	863.693510000	-46.4679	66.9568	78.1206	1321400.79913407	-4339448.30681879	4475185.01660303
31100	863.893603000	-46.4642	66.945	78.1329	1321391.50597095	-4339434.91648044	4475200.64123609
31159	864.043697000	-46.4662	66.9548	78.1172	1321384.53605095	-4339424.87350496	4475212.35944152
31403	864.627289000	-46.4679	66.9583	78.1193	1321357.43092842	-4339385.81770702	4475257.93074893
31485	864.810720000	-46.4625	66.9439	78.1287	1321348.91222634	-4339373.54305613	4475272.2531474
31653	865.211053000	-46.4662	66.9567	78.1156	1321330.32582641	-4339346.76142455	4475303.50155133
31795	865.577768000	-46.4625	66.9451	78.1277	1321313.28832552	-4339322.21149601	4475332.14585552
32025	866.144712000	-46.4662	66.9581	78.1144	1321286.95758539	-4339284.27012299	4475376.41379948
32252	866.728335000	-46.468	66.9615	78.1165	1321259.85243226	-4339245.21243004	4475421.9834646
32324	866.911773000	-46.4626	66.9472	78.1259	1321251.33372057	-4339232.93718359	4475436.30534691
32548	867.462039000	-46.4643	66.9505	78.1281	1321225.77739937	-4339196.11064447	4475479.27040161
32624	867.628783000	-46.468	66.9629	78.1153	1321218.03306066	-4339184.950995	4475492.29002133
32707	867.828873000	-46.4643	66.9511	78.1276	1321208.7398779	-4339171.55943973	4475507.91359975
32778	867.995622000	-46.4643	66.9514	78.1274	1321200.99553767	-4339160.39969573	4475520.93313753
32841	868.162390000	-46.4643	66.9516	78.1272	1321193.25119675	-4339149.23990875	4475533.95263808
32932	868.362481000	-46.468	66.964	78.1143	1321183.95794982	-4339135.84798646	4475549.57586372
33013	868.562587000	-46.468	66.9643	78.1141	1321174.66476341	-4339122.4562043	4475565.19924549
33091	868.762682000	-46.468	66.9647	78.1138	1321165.37157601	-4339109.06436027	4475580.82257364
33171	868.962773000	-46.4644	66.9529	78.1261	1321156.0783876	-4339095.67245437	4475596.44584816
33237	869.129556000	-46.4644	66.9531	78.1259	1321148.33404267	-4339084.51241818	4475609.46513269
33336	869.329614000	-46.4681	66.9655	78.113	1321139.04079094	-4339071.12019682	4475625.08809912
33410	869.513047000	-46.4626	66.9512	78.1224	1321130.52206738	-4339058.844213	4475639.40934236
33639	870.063315000	-46.4681	66.9667	78.112	1321104.96571061	-4339022.01546184	4475682.37247983
33723	870.263411000	-46.4644	66.9549	78.1244	1321095.67251574	-4339008.62315374	4475697.99540576
33792	870.413494000	-46.4663	66.9647	78.1086	1321088.70257195	-4338998.57870099	4475709.71233081
34018	870.980433000	-46.4664	66.9656	78.1079	1321062.37182517	-4338960.63329322	4475753.97681246
34257	871.564056000	-46.4644	66.9569	78.1226	1321035.26660191	-4338921.57123892	4475799.54269746
34318	871.714141000	-46.4627	66.9546	78.1195	1321028.29671479	-4338911.52668655	4475811.25957084
34530	872.247718000	-46.4664	66.9675	78.1062	1321003.51473528	-4338875.81202956	4475852.91905793
34770	872.797963000	-46.4645	66.9588	78.121	1320977.95840271	-4338838.98115497	4475895.88038954
34807	872.931395000	-46.4681	66.9711	78.1082	1320971.76288954	-4338830.05225804	4475906.29505095
